序号,区县,街乡,名称,地址,联系电话,联系人,特色产品,简介
63,昌平区,南口镇,金果树果业科技中心,"北京市昌平区南口镇辛力庄村

",,崔士侠,桃、李、杏、樱桃、梨、葡萄,金果树果业科技中心基地有桃、李、杏、樱桃、梨、葡萄等，果园面积130亩，年产鲜果10余万公斤。
64,昌平区,,太平庄观光采摘园,北京市昌平区,89774284,郝春兰,苹果、梨、桃李、杏、樱桃,太平庄观光采摘园占地面积530亩，年产鲜果80万公斤。
65,昌平区,十三陵,神路葡萄庄园,"北京市昌平区十三陵神路西侧
",89762324,徐满红,葡萄、樱桃、梨、苹果、桃、枣,神路葡萄庄园位于著名的明十三陵旅游风景区内的神路西侧，南邻昌平卫星城，北依十三陵景区，东靠十三陵水库，西达居庸关长城，处于北京西北地区旅游枢纽位置。神路庄园是一处集葡萄文化博览、多种果树采摘、农业科普宣传、农业旅游观光等功能于一体的现代农业庄园。庄园总面积538亩，分为南北两园。南园以葡萄栽植为主，面积为218亩，北园则栽种樱桃、梨、苹果、桃、枣等多种果树，为果树栽培区，面积320亩。
66,昌平区,南口镇,昌盛绿岛观光采摘园,北京市昌平区南口镇陈庄村,69785134,韩彦,苹果、梨、桃、樱桃、李子、枣,北京南口昌盛绿岛观光采摘园，位于昌平区西北部，距昌平城区5公里，紧靠八达岭高速公路，交通便利。昌盛绿岛观光采摘园中心园面积260亩，辐射带动周边果树面积500亩。中心园内有苹果、梨、桃、樱桃、李子、枣等多个树种。昌盛绿岛观光采摘园分别于2003年被市林业局、市旅游局确定为市级定点观光采摘园和区级观光采摘园。
67,昌平区,崔村镇,金苹果观光农业园,北京市昌平区崔村镇,60725090,陈贤海,芥兰、油菜花、菜心、冬枣、桃、葡萄、玉米,金苹果观光农业园隶属于北京金苹果旅游公司，位于昌平卫星城以东十公里的崔村镇，地处半山区。北京金苹果观光农业园占地面积1410亩，共划分为3个区。其中各种特菜种植区面积600亩，粮食作物区面积450亩，果品种植区面积360亩。可年产特种蔬菜100万斤，果品50万斤。每年可接待观光采摘游客20000人以上。
68,昌平区,崔村镇大辛峰村,北京崔村大辛峰果园,北京市昌平区崔村镇大辛峰村西,60721403,许建利,苹果,辛峰果园始建于一九八一年，是昌平区林业局亲自指挥建成的标准化示范果园，果园在发展过程中实行企业化管理，多次被市、区林业局及政府评为先进单位，被定为昌平苹果示范区。2002年获得北京市食用农产品安全认证证书；2003年被北京市果树产业协会“收获金秋”百万市民观光果园采摘之旅组委会指定为北京市观光采摘果园定点果园；同年被北京市昌平区旅游局，林业局定为观光采摘园。2002年并被定为北京市农业标准化生产示范基地，2004年被北京市农委定为十家放心水果生产基地。
69,昌平区,,王庄村果园,北京市昌平区卫星城西十五公里处,69778417,王凤林,桃,王庄村果园位于燕山脚下昌平卫星城西十五公里处，2002年11月被昌平区授予“绿色生态富民先进村”、2003年被昌平区评为“农业结构调整先进专业村”，同时被北京市科学技术协会授予“北京市农业科普示范村”，今年村里投资了150万元进行观光园的建设，
70,昌平区,兴寿镇桃林村,桃林村果园,北京市昌平区兴寿镇桃林村,61725346,王志远,苹果,"桃林村果园地处京密引水渠以北,燕山脚下,属山前暖带气候,适宜苹果栽植,周边环境优美,南有小汤山温泉、北有银山塔林和国家一级森林公园大羊山，东有静之湖、西御苑培训中心，周边的民俗旅游渡假村比比皆是。2000年通过了北京市农产品安全食品的认证。现又被评为北京市农业标准化示范基地。果园内有宽敞的硬化路面和占地面积1800㎡的停车场。"
71,昌平区,,金沙坨草莓园,北京市昌平区,61721687,陈世秀,草莓、苹果、蔬菜,金沙坨草莓园是为广大消费者提供以观光、采摘、休闲、餐饮、娱乐为一体的农业示范园。园内具体种植与设施有：草莓、果树、花圃、养殖、农家乐、蔬菜、垂钓、温泉洗浴、会议住宿、体育健身以及儿童游乐园。
72,昌平区,十三陵镇,昌平苹果主题公园,北京市昌平区十三陵镇七孔桥东,69744201,蒋瑞山,苹果,昌平苹果主题公园始建于2007年春，位于青山绿水的军都山脚下、十三陵水库北岸，是明十三陵景区内的现代园林明珠，地理位置得天独厚。总占地面积706亩，分为观光采摘区、品种展示区、展览展示区、亲水休闲区和设施栽培区等五个功能区域，其中观光采摘区面积515.55亩，品种展示区面积58.17亩，展览展示区面积15.44亩，亲水休闲区面积30.32亩，设施栽培区20亩，可满足市民观光采摘、科普、娱乐与休闲需求。公园因地制宜，充分发挥现状优势，通过园林、园艺手段，创造以苹果为主题的，新颖、具有时代感的园林景观。同时以植物造景为主，构筑绿色的生态环境，以新颖的手法展示悠久的苹果文化和地方文化，更新观光农业概念，提升观光产业水平，为市民游览观光提供一个高质量的户外活动空间。
73,大兴区,安定镇西芦各庄村,北京亮民绿奥观光采摘园,北京市大兴区安定镇西芦各庄村村委会西南500米,89235699,高颖,樱桃、葡萄、核桃、枣、树莓、杏、李子、杏李、梨、桑葚,北京亮民绿奥观光采摘园位于北京市大兴区安定镇，始建于2007年3月，自然条件优越、交通便利，充分利用自然资源、地理位置、周边环境、建设集观光、采摘为一体的休闲园区。是一个既有农业经营特色，又有观光旅游功能的区域，为达到自然景观、人文景观与农业园林景观整体上的和谐统一，
74,大兴区,庞各庄镇四各庄村,乐平御瓜园,北京市大兴区庞各庄镇四各庄村南,89288556,冯乐平,西甜瓜,乐平御瓜园坐落于“中国西瓜之乡”庞各庄镇，经营范围以西甜瓜为特色经营、兼顾瓜、菜种植、科普教育、观光采摘、休闲娱乐、瓜吧、农事体验为一体的综合农业生态园，现有会员650户，辐射带动周边2000户农民。
75,平谷区,大华山镇泉水峪村,北京胜泉观光园,北京市平谷区大华山镇泉水峪村,61948649,范来成,梨、柿子、核桃、苹果,"北京胜泉观光园围绕胜泉景区建成，园区面积66.6公顷,以特色采摘、植物观赏、特色人文果品等各具特色观光的采摘果园。采摘园的建设突出地区特色，采摘的果品以本地区的优质品种“精品桃”和红肖梨为主，柿子、核桃、苹果等其他果品为辅。观光园作为胜泉景区的组成部分，全面带动周边旅游产业升级，丰富活动内容，展示平谷旅游业特色，特色文化桃的研发，成为北京市十大农产品创新产品，为郊区农村开展观光农业开发起到引导和示范作用。"
76,平谷区,,桃李园,北京市平谷区,,李学良,杏果,园子里全部采用农家肥，精心栽培，保证了水果鲜美可口。园区随时敞开大门，欢迎各界朋友前来采摘、休闲，在桃李园享受回归田园的乐趣！
77,平谷区,金海湖镇韩庄村,金海湖观光采摘园,北京市平谷区金海湖镇韩庄村,69991149,张立增,苹果、大桃、杏、李子、大棚草莓、柴公鸡、柴鸡蛋,金海湖观光采摘园(韩庄种植园)毗邻风景秀丽的金海湖，顺平路延伸线直达园区，昌金路、平蓟路，胡陡路均与之相通，交通十分便利。园区距平谷城区15公里，周边有教工休养院、碧海山庄、金海宾馆等7家星级宾馆，是建造农业观光园区最理想的区域之一。该园区占地820亩，以休闲采摘为主，主要农产品有苹果、大桃、杏、李子、大棚草莓、柴公鸡、柴鸡蛋等，每年1月至10月底均可接待游客，韩庄种植园建设为带动金海湖地区旅游业发展起到了良好作用
78,怀柔区,桥梓镇,凤山百果园,北京市怀柔区桥梓镇西北部,69675696,,大枣、樱桃、核桃、苹果、梨、杏、浆果,凤山百果园是怀柔区独具特色的现代都市农业主题公园，位于北京市怀柔区桥梓镇，距怀柔城区5公里，距北京市区45公里，交通十分便捷。园区占地20平方公里、涉及19个行政村和10余个农业采摘观光园，目前已形成一个集观光休闲、果品采摘、参观娱乐为一体的“8”字形双环景观格局。凤山百果园区周边生态环境优美，辖区内怀沙河、怀九河川流而过，平缓的山丘坐落其中。区内植被资源非常丰富，杨树、柳树等错落其中，树下碧绿的草坪铺满了大地。
79,密云县,穆家峪镇,金太阳鲜食杏观光采摘园,北京市密云县穆家峪镇庄头峪村,61052705,赵克栓,杏,庄头峪村金太阳鲜食杏观光采摘园位于密云县穆家峪镇东北部，北倚密云水库，西邻潮河，紧邻101国道辅线，是通往承德、古北口等多个著名风景区的必经之路，园区毗邻著名白龙潭景区和神农峪风景区，交通条件十分便利。园区规模700亩，主栽品种为金太阳、凯特。
80,密云县,,石马峪观光采摘园,北京市密云县,51371666,,桃,"石马峪是观光采摘的乐园。""石马峪金秋采摘节""从6月下旬一直延续到10月中旬，早露蟠、京红、京玉、庆丰、碧霞蟠桃等40多个主裁品种，给观光者带来极大兴趣，赏桃、摘桃、品桃，一切都在亲自中。采摘之后，住农家炕、吃农家饭、干农家活、交农家友、学习农业知识，体验民俗风情，不亦乐乎。"
81,密云县,不老屯镇黄土坎村,黄土坎贡梨观光采摘园,北京市密云县不老屯镇黄土坎村,81091742,丁永柏,梨、板栗、苹果、核桃,黄土坎贡梨观光采摘园区位于密云县不老屯镇，以黄土坎地区为中心，园区面积达1.2万亩，种植鸭梨60万株，年产量达500多万公斤，位居京郊之首。园地处密云水库正北岸的云峰山脚下，涉及黄土坎村、燕落村、转山子村等，面积12万亩，有果树48万株，进入盛果期的果树面积占70%左右，常年产量650万公斤。经国家食品质量监督检验中心检验，锌、硒、钾微量元素和折光糖含量远远高于梨的平均含量，具有高抗氧作用，品质独特稀缺。2000年获北京市“安全食品认证”，2003年被列入北京市农业标准化生产基地，并获得中国(北京)首届沙产业博览会参展产品，并获“名优产品”。采摘园的主要产品以梨为主，另有板栗、苹果、核桃，活动内容包括采摘、观光、旅游、食宿等。观光园每天可一次性接待游客1000人以上，并有食宿。
82,密云县,穆家峪镇庄头峪村,红香酥梨观光采摘园,北京市密云县穆家峪镇庄头峪村,61052705,赵克栓,梨,庄头峪红香酥梨观光采摘园建于2001年春，总面积1000亩。红香酥梨是中国农业科学院郑州果树研究所培育的获得国家发明专利〔专利号(N1236539A)〕的红皮梨新品种，是“九五”国家科技成果重点推广项目(编号99100401A)。园区果农自发成立“北京庄头峪潮河果业合作社”，注册“潮河果业”商标，并严格实施和落实标准化示范基地、安全食品认证、有机食品基地建设各项工作。园区观光采摘活动，统一由“庄头峪潮河果业合作社”统一规划，统一组织，统一价格，统一使用商标，统一印制采摘用袋。
83,延庆县,旧县镇米粮屯村,阳光果园,北京市延庆县旧县镇米粮屯村,61152499,吴久昌,梨、桃、杏、苹果、葡萄,阳光果园创建于1999年，位于北京市延庆县旧县镇米粮屯村，其前身为阳光现代林果精品园，2003年在其基础上正式注册了“北京久昌种植有限公司”，挂牌经营。公司包括两处经营场所：“阳光果园”和“亦幽然农家饭庄”，占地面积200亩，建筑面积2000平方米。阳光果园园内设计别致，布局合理，道路通畅，先后引进种植了梨、桃、杏、苹果、葡萄五大系列100多个国内外名、特、优、新的果品品种，并修建了水、电、路等配套达标设施，是休闲旅游、田园观光采摘的主要场所。2008年公司又从山东、江苏等地引进了樱桃品种。
84,延庆县,张山营镇苏庄村,延庆县果树生态科技示范园,北京市延庆县张山营镇苏庄村,69192767,郭春明,葡萄、李子、梨、桃、杏,延庆县果树生态科技示范园位于县城东北部7公里，距龙庆峡旅游区2.5公里，占地面积1100亩，按照标准化生产的要求，以名特优新品种的试验示范和旅游观光采摘为发展方向，栽植了以葡萄、李子、梨、桃、杏五大树种为主的70多个品种，年产优质果品50万公斤。该园区以北京市各大科研院校为依托单位，推广了一系列绿色果品生产技术，并取得了北京市食用农产品安全认证。基地的建设，带动了延庆县果品生产水平的提高。果树生态科技示范园建有4000立方米的养殖池、千米葡萄长廊、休闲亭、摸鱼池等附属设施，配套和完善了园区主路两侧绿化美化工程，栽植了以金丝垂柳、碧桃、榆叶梅、木槿、沙地柏等为主的乔木树种5000多株，栽植和铺设花灌木、草坪1600平方米，与龙庆峡景区和周边的千亩农业生态治理工程相结合，形成了山清水秀、鸟语花香、风景秀丽的生态环境。游客可自己采摘鲜菜，自己垂钓鱼虾，自己制作，充分享受人与自然的亲近及劳动的乐趣。
85,延庆县,张山营镇,佛峪口果园,北京市延庆县张山营镇,69111276,刘明慧,苹果、李子,佛峪口果园位于延庆县城西北部张山营镇，松山自然保护区的入口处，隶属于延庆县水资源局下设的佛峪口水库管理处，自然环境优美，西、北、东三面被青山环抱，北与国家级原始森林松山公园接壤，南望官厅水库，占地面积200亩。该园区地处山前坡地，背风向阳，光照充足。主要树种有苹果、李子，品种为富士、乔纳金、黑宝石。生产的红富士苹果不仅色泽艳丽，而且肉质青翠，酸甜可口。在延庆县举办的各届展评会上多次名列首位。
86,延庆县,张山营镇,张山营镇松湖果园,北京市延庆县张山营镇,69113208,沈长宽,苹果、葡萄,松湖果园位于张山营镇南部，地处官厅水库北岸，占地面积200亩，水、电、路等基础设施完善。园区以红富士苹果和红地球葡萄为主栽品种，年产优质绿色果品20万斤。该园区生产的果品，不仅色泽艳丽，而且含糖量高，风味佳，且耐贮运。多年来，凭借松山自然保护区和千古之谜古崖居及风景独特的野山峡等旅游景点的优势，成为延庆县定点观光采摘果园之一。
87,延庆县,辛庄堡,后所屯苹果观光园,北京市延庆县辛庄堡,61163751,杨进富,苹果,后所屯苹果观光园位于延庆县城北部，地处北山果树带，相邻于辛庄堡“杏花村”，距永宁古城公里，交通便利，运输方便。该园区占的500亩，年产优质红富士和国光苹国50万公斤。由于具有独特的气候条件，所生产的果品色好味美，耐贮存和运输。该园区通过办“民俗游”和“农家乐”活动，不仅吸引了无数的休闲度假者，而且带动了本地区果品采摘业的发展。
88,延庆县,辛庄堡,辛庄堡杏树观光采摘园,"北京市延庆县香营乡新庄堡民俗村

",60161505,张新华,杏,辛庄堡杏树观光采摘园位于延庆县城东部，苍米古道之口，面积3000亩，是华北地区最大的鲜食杏品种基地。该基地有葫芦、骆驼黄、山黄杏、偏头、红金针、串枝红为主的早、中晚熟鲜食品种120多个，年产鲜杏150万公斤。令花时节满园杏花争相绽放，交相辉映，素有北方“杏花村”之称。此园杏树6月份进入成熟期，根据品种早熟、晚熟的特点，骆驼黄为早熟杏，6月初可采摘，偏头、山黄杏、红金针为中熟期，6月20日左右采摘；串枝红为晚熟杏，7月中旬可采摘，持续到7月底，采摘期近2个月。累累硕果，色鲜味美，各具特色，现已成为、赏花、观光、采摘为一体的旅游胜地。
89,延庆县,,玉佛观光果园,北京市延庆县,69111760,刘明会,各类水果,玉佛观光果园位于延庆县西北部，松山自然保护区入口处。该园始建于1992年，现有固定资产340万元，果园集中成片，占地200余亩。果园拥有优美的环境和办公场所及贮存保鲜库等设施，有丰富的水利资源，便于项目的利用和开发。园区夏季凉爽，气温比北京气温低3-5度，在有效的土地上建造别墅、宾馆、培训中心一类场所，供人们来这里集会、避暑纳闲、垂钓、采摘、爬山等游乐，是最好的活动场所。
90,延庆县,刘斌堡乡山南沟村,青山风情园,北京市延庆县刘斌堡乡山南沟村,60181928,,桃、杏,青山风情园位于延庆县刘斌堡山南沟村，有果林20亩，种有桃树和杏树，游人来此不公可以赏花、采摘，还可以欣赏到主人赵青山制作的木偶表演。他选择民间传说故事，配上乐曲，再编排出表演动作。“抬花轿”、“二鞑子摔跤”，还有“白蛇传”，“乾隆下江南”以及“牛郎织女鹊桥会”等传说故事都是他演绎的对象。赵青山的木偶剧团曾多次参加北京和外地折庙会演出和花会会演，知名度不断扩大。
91,延庆县,张山营镇,红樱桃采摘园,北京市延庆县张山营镇,81191010,,樱桃、杏、桃、李子,红樱桃采摘园位于延庆县张山营镇，是去往龙庆峡的必经之地，交通便利，村内有百亩果园，杏、桃、李子等水果，过往游人在游乐之余可以采摘、登山、探秘，临走带一些这里的土特产品送给亲朋，是您最大的收获。采摘园内还可根据客人的不同口味，结合当地特色，推出了一系列特色餐饮，有，一次性可以接待30-50人吃住，无论冬夏都是您来延庆度假、娱乐的首选。
92,延庆县,张山营镇前黑龙庙村,北京市延庆县张山营镇前庙葡萄观光示范园,北京市延庆县张山营镇前黑龙庙村,69113402,李春旺,葡萄,前黑龙庙葡萄园位于延庆县城西北部的张山营镇前黑龙庙村，北有国家级松山自然保护区，南临官厅水库，有着得天独厚的自然环境，占地面积1060亩，栽植有红地球、里扎马特、黑奥林、美人指、白鸡心等10多个葡萄品种。前庙葡萄具有果型正、颜色鲜艳、糖度高、硬度大、无污染、耐储存等特点。其中红地球、里扎马特、黑奥林三个葡萄品种在1998年第五届全国葡萄学术研讨会上被评为优质产品。2001年被北京市农产品安全体系建设办公室确定为农产品安全生产基地，并取得了A级证书。前庙千亩有机葡萄基地是北京市第一家有机葡萄认证基地，同时也是全国最大的千亩有机红地球葡萄基地。
93,延庆县,香营乡后所屯村,兰英生态园,北京市延庆县香营乡后所屯村,60162160,田兰英,水果采摘,"兰英生态园位于延庆县香营乡后所屯村，交通极为便利。向南4公里，明代的永宁古城巍巍屹立；向东30公里，滴水湖和硅化木石国家地质公园风景秀丽；向北10公里，燕山天池令人向往；向西10公里，著名的龙庆峡风景区将使您流连忘返，再向西还有玉度山、野三峡、松山原始森林、古崖居等自然风景区。兰英生态园以生态民俗为本、以休闲采摘为主，游人到此常常流连忘返。
"
94,延庆县,,前黑龙庙村葡萄园,北京市张山营镇前黑龙庙村,69113402,张进元,葡萄,前黑龙庙村葡萄园位于延庆县西北部，与河北省怀来县紧密相连。园区田间路整修3400平方米，修建了花墙，栽植绿化树种1.2万株，花灌木3000株，并配套完成了园区特色围栏1500米，建家庭节能保鲜库11座，安装了小管微喷400亩，架设葡萄长廊300米，修建停车场1000平方米等基础设施建设。目前黑龙庙葡萄园区已建成京郊特色的集旅游观光、休闲度假于一体的高标准生态农业观光园区。
95,延庆县,旧县镇三里庄,三里庄生态观光果园,北京市延庆县旧县镇三里庄,13601191081,陈红友,杏,三里庄生态观光果园位于延庆县城东北部，龙庆峡风景区东部的旧县镇三里庄村，距县城20公里，距龙庆峡风景区约5公里。该果园面积2000亩，园内栽植鲜食杏10余个品种，仁用杏4个品种，现已成为赏花、观光、采摘为一体的旅游胜地。区内硬化道路2000米，简介牌2块，建有停车场1000平方米，客房60间，餐厅4000平方米。
96,延庆县,张山营镇西卓家营村,西卓家营生态友好葡萄主题公园,北京市延庆县张山营镇西卓家营村,13521530778,李文义,葡萄,西卓家营生态友好葡萄主题公园位于延庆县张山营镇西卓家营村东，距首都北京80公里，从德胜门向北走京张高速，康庄出口出向北经康张公路过妫河大桥北侧，约1个小时。从延庆县城走延张路10公里约10分钟就可到达此公园，是通往古崖居、松山自然保护区、玉渡山风景区的必经之地。该园区价建于2007年，总占地450亩，园内栽植鲜食葡萄品种40余个、酿酒葡萄品种4个，修建围栏4000米，主路1000米，辅路(环路)4000米，大型标志牌一块，竹艺塔楼一座，停车场2处3000平方米。
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,??
